Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Idän ratsu Oy Alma media Speedmaster Oy TCF-myynti Oy Lehtokuva Vallas Oy Tilastokeskus Helsingin eläin-zoo Hauvaset Oy Suomen Riistakeskus Playters Fin Oy Ideavirta Oy 	Nordea 	Pankki Suomi Oyj Art-Print Oy KTC-Finland Oy Dotcommunications Oy AS Unipress Pohjanmaan Kaluste Oy Espoon Taidesäätiö Primapoli Ltd Talentum Media Oy M.I.S.U. design 
Takaisinsaannin hakijat : Kustannusosakeyhtiö Perhemediat Oy ja Nordria Oy , alkuperäinen kantaja : Pohjanmaan Kaluste Oy - L 12/43240 Velkomus , palvelussopimus Suomen Kerta Oy &gt ; Nordria Oy , Kustannusosakeyhtiö Perhemediat Oy - S 12/31233 Velkomus , palvelussopimus AS Unipress &gt ; Kustannusosakeyhtiö Perhemediat Oy - L 11/51262 Velkomus , palvelussopimus Lönnberg Painot Oy &gt ; Kustannusosakeyhtiö Perhemediat Oy Vireillä on vahingonkorvausta koskeva riita-asia L 11/25942 , jossa kantajana on Kustannusosakeyhtiö Perhemediat Oy ja vastaajana 	Nordea 	Pankki Suomi Oyj . 
	Nordea 	varoittaa , että Suomen kolmen A : n luottoluokitus voi olla vaarassa ensi kuussa , sillä todennäköisesti luottoluokittaja Standard&Poor ' s päätyy laskemaan Suomen luottoluokitusta 10. lokakuuta . 
	Nordean 	pääekonomisti : " Suomi on oikeasti kriisissä " . 
Rahoituspuolella Sampo oli halventunut 0 , 6 prosenttia ja 	Nordea 	0 , 4 prosenttia . 
Venäjän vastainen taloussota tuottaa tulosta : 	Nordean 	mukaan Suomi köyhtyy ja kokonaistuotanto supistuu . 
	Nordea 	julkisti talousennusteensa otsikolla ”kuinka alas voi vajota ? 
	Nordeaa 	oli kokoomusjohto jo ojentanut että ei saa kertoa negatiivista . 
	Nordean 	tietokalastelu tapauksessa ei ollut kyse tunnuslukujen tms. kalastelusta . 
Tosin nyt näyttää taas siltä , että heikentyminen jatkuu ” , arvioi 	Nordean 	pääekonomisti Aki Kangasharju ohjauskoron nostoa HS:lle tiistaina aamupäivällä . 
Myös yritykset vaihtavat omistajaa ja viimeisten vuosien aikana on ulosliputettu useita suomalaisia suuryrityksiä , mm Rautaruukki , 	Nordea 	, Sonera , Nokia jne jne. Nykyisen Kokoomus-hallituksen aikana puhutaan paljon toisaalta pienten yksiköiden hävittämisestä , siihen kai nämä yritysfuusiotkin liittyvät , peri-kapitalistiseen sulautumis-ilmiöön . 
ilmeisesti etelä-suomen pl tutkii teidän kirjoittamianne potaska juttujanne ja aikoo nostaa asian japanin osuuspankin kanssa kanteen , kertoo andreas 	nordea 	! 
lähde : osama bin lanben andreas 	nordea 	ei ole hyvällä katsonut teikäläisten alamaailman huumeiden käyttöä ja mummoille pottuilua ! 
10% Sampo 10% Ocmetic 10% Digia 10% 	Nordea 	10% TeliaSonera 10% Nokia 20% Yrityskorkot 20% 24kk tili tuotto 3 , 5% Kirjoitappa nämä ylös ihan huviksesi jos et ole halukas sijoittamaan ja katso kuinka mitä rahalle olisi tapahtunut seuraavan 24 kk : n aikana . 
Itse sijoitin kymmen vuotta sitten 	Nordean 	rahastoon 20 000 markkaa jota en ole vieläkään ottanut pois koska on 400-500 euroa tappiolla ja välillä 2000 euroa , joten se siitä Nordean johtajasta . 
Itse sijoitin kymmen vuotta sitten Nordean rahastoon 20 000 markkaa jota en ole vieläkään ottanut pois koska on 400-500 euroa tappiolla ja välillä 2000 euroa , joten se siitä 	Nordean 	johtajasta . 
Ja vielä , taisi olla 	Nordean 	ennuste jonka mukaan Suomen inflaatio on tänä vuonna 3 , 5% . 
	Nordean 	meren neito oli muka laillista , finncapital todetaan syyttömäksi . 
Ikää on 30v Kaikkein paras muisto on kun kävin 	Nordeassa 	ja iskin naisen siitä kassalta . 
miksi pielisen osuuspankki ja 	nordea 	eivät anna eläkeläisen pitää tiliä pankissaan2008-2014 , kuinka toimia , kun kortti on lukkiutunut , nosto automaatilla ei onnistu , ja miten maksaa laskuja ilman pankkia ???????? 
Kyseessä oli 	nordea-nordea 	- siirto . 
Laitoin 	Nordealle 	viestiä ja he lähettävät minulle uuden luottokortin toisella numerolla . 
	Nordealta 	kerrottiin , että asia etenee todennäköisesti poliisille tutkintapyynnön kera . 
Tyttäresi kuulostaa puolestaan minulta ( kun olin 13- vuotias ) Minulle avattiin tili äidin nimen alle 	Nordeaan 	ja sain tuolloin ensimmäisen Visa Electron korttini . 
Me oltiin 	Nordeasssa 	kyselemässä . 
Lainaturvaesimerkki ( 	Nordea 	) " " Lainaturva on henkilökohtaisesti mitoitettava vakuutusratkaisu , johon voit valita turvat työttömyyden , sairauksien , tapaturmien ja kuoleman varalle . 
Marginaaleissa on nimittäin valtavat erot , itse kilpailutis sampo : n , 	nordean 	, osuuspankin , säästöpankin , aktian ja paikallis osuuspankin . 
Eilen käytiin 	nordean 	konttorissa neuvotteluja asuntoon sijoittamisesta ja sellaisen ostamisesta . 
netin lainalaskurit Kato netistä jonkun pankin lainalaskuri ( itse säädän 	Nordean 	omalla ) . 
Kun ostat 	Nordea 	Sololla niin se menee johonkin moneybookers-sivulle jossa pitää antaa sähköposti ja osoite ( sähköpostiosoite sama jolla Minecraftiin rekisteröity ) mitä siinä tapahtuu kun maksaa aukeavalla Nordean sivulta sen Minecraft : €19.95 ( EUR ) Onnistuuko maksaminen ettei raha maksun jälkeen häviä ja peliä ei saa mistään ladattua ? 
Kun ostat Nordea Sololla niin se menee johonkin moneybookers-sivulle jossa pitää antaa sähköposti ja osoite ( sähköpostiosoite sama jolla Minecraftiin rekisteröity ) mitä siinä tapahtuu kun maksaa aukeavalla 	Nordean 	sivulta sen Minecraft : €19.95 ( EUR ) Onnistuuko maksaminen ettei raha maksun jälkeen häviä ja peliä ei saa mistään ladattua ? 
Yritin tallettaa veikkaushuoneelle 	Nordea 	verkkopankin kautta . 
hienot tagit tuohon voisi lisätä vaikka : facebook , youtube , iltalehti , iltasanomat , google , helsinki , sää , yle , tv , mtv3 , vaalikone , google+ , munamies , ylilauta , feissarimokat , iina kuustonen , saana uimonen , saana parviainen , angry birds , japanin 1. Jääkiekon MM 2. Rock the Beach 3. Euroviisut 4. Tall Ships Race 5. Confederations Cup 6. Jukolan viesti 7. Kalevan kisat 8. Asuntomessut 9. Sauna Open Air 10. Weekend Festival 1. Trivago 2. Viking Grace 3. Matkamessut 2013 Helsinki 4. HSL reittihaku 5. VR mobiili 6. Hiihtoloma 2013 7. Syysloma 2013 8. Norwegian lennot 9. Tallink Europa 10. Lentolakko 1. Zalando 2. Hullut Päivät 2013 3. K-supermarket 4. K-citymarket hintaralli 5. Kauppakeskus Kaari 6. Siwa aukioloajat 7. MiniInTheBox 8. Matkus Shopping Center 9. Kauppojen aukioloajat 10. Prisma verkkokauppa 1. Danske Bank 2. Lähitapiola 3. 	Nordean 	verkkopankki 4. POP vakuutus 5. Veroilmoitus 2013 6. Veronpalautus 2013 7. Danske Bank miniverkkopankki 8. Verotulot 2012 9. Arvonlisävero 2013 10. Ansiosidonnainen päiväraha laskuri 1. iPhone 5s 2. iPhone 5c 3. Samsung galaxy s4 4. Lumia 920 5. Lumia 520 6. Lumia 1020 7. Lumia 620 8. Samsung galaxy trend 9. Lumia 720 10. Lumia 820 koodit cod , koodit battlefield , bf4 , 
Mainittakoon nyt vielä , että 	Nordean 	, pizzerian , Siwan ja M-marketin palveluja en ole käyttänyt . 
Vuosi sitten aloin Säästöpankin asiakkaaksi , vaikka olen silti vielä 	Nordeankin 	asiakas . 
Seurakuntataloksi sopisi tyhjenevä 	Nordean 	konttori , eikä uutta tarvitsisi rakentaa . 
On kyllä 	Nordeaa 	, Teliasoneraa , Outokumpua ostin vasta , lisäksi on Fortumia ja Neste oilia ja niin edelleen . 
Jämsäläisiä on jotain x määrä , joita osa x määrä omistaa osakkeita , 	Nordeaa 	omistaa x jämsäläistä ja jne edelleen . 
	Nordea 	x telia-sonera x Outokumpu x fortum x Neste , muttei talvivaara Yhtälöön voi vielä laittaa osakkeen omistajat alle 20 000 kipaletta . 
" On kyllä 	Nordeaa 	, Teliasoneraa , Outokumpua ostin vasta , lisäksi on Fortumia ja Neste oilia ja niin edelleen . 
	Nordean 	osake on noussut kahdessa vuodessa lähes 40% . 
Jos olisi 	Nordea 	olisi palkannut miehen aikoja sitten . 
	Nordea 	on sanonut irti Rotenberg capital Långvik tilin !! 
Ahti Koskinen Kari Hallikainen Anne Hartikainen Eeva-Leena Korpijärvi Maija Riitta Auvinen Markku Pietiläinen Olli Humalamäki Pauliina Viitamies Riitta Kuismin Ullaliina Mäkelä Sirkku Mehtola , toiminnanjohtaja , hallituksen sihteeri Mukana kansanedustaja Viitamies , sossuja , 	Nordean 	johtaja Violan hallituksessa ja vaimo Violassa työssä . 
irtisanomis ja yt ralli vain kiihtyy 10.10.13 " Pöyry käynnistää yt-neuvottelut - 160 henkilöä " 10.10.13 " 	Nordea 	karsimassa enintään 27 työpaikkaa hallinnosta " 11.10.13 " Valtioneuvostosta meni työpaikka - 1 ( yksi ) eroaa " 11.10.13 " Ruukin Peräseinäjoen tehdasta uhkaa lopetus , aloittaa yt-neuvottelut - 95 työntekijää " 14.10.13 " Tieto irtisanoo - Henkilöstö vähenee 770 : llä " 16.10.13 " Stockmann uudistaa markkinointiorganisaatiota - jopa 70 : lle kenkää " 16.10.13 " Sinebrychoff aloittaa yt-neuvottelut - 45 henkilöä " 16.10.13 " Nokia aloittaa yt-neuvottelut " 16.10.13 " Fiskars vähentää 41 " 17.10.13 " Outotec säästää tylysti : 500 ulos " 21.10.13 " Metso aloittaa jälleen yt-neuvottelut : 50 voi saada potkut " 21.10.13 " Valmet vähentää 400 " 21.10.13 " Iisalmelainen Normet vähentää 76 " 22.10.13 " Työttömyys paheni – kiusaa varsinkin nuoria " 
1.4.14 S-Pankki irtisanoo 38 työntekijää 2.4.14 Sonera aikoo vähentää väkeä asiakaspalvelusta - 80 työntekijää 2.4.14 	Nordea 	aikoo vähentää jopa 300 työpaikkaa Suomesta TEE IHALAINEN - TANA JOTAIN PALKKASI ETEEN ! 
6/13/2014	Nordea 	aikoo vähentää yli 300 13.6.14 Turun kaupunki aikoo vähentää 350 13.6.14. Turkua ennen LAHDEN kaupunki ilmoitti vähentävänsä 700 päätä . 
Miten esimerkiksi 4.1 miljardia vuodessa voittoa tuottava 	Nordea 	voi irtisanoa satoja työntekijöitään ? 
13.00 perkelee pielisen osuuspankki , joka ryösti rahani 17.1.-25.2.2008 , sitten tilinpitokielto 	nordeassa 	ja osuuspankissa 2008--2013. 
Sama tilanne on myös 	Nordealla 	, jolle Zalaris hoitaa palkanmaksua . 
Katsokaa kerroin vaikka esim. 	Nordean 	sivuilta taulukosta , tai varmasti netistä löytyy tuohon suoraan joku laskinkin . 
http://yritys.taloussanomat.fi/protestit/blint-networks-oy/helsinki/2020340-3/ Protestit yrityksestä Blint Networks Oy viimeisen 3kk ajalta 11.11.2011 1 993 € Velkojana : Nuutajärven Tilikonttori Avoin Yhtiö 7.11.2011 50 € Velkojana : Sergel Oy 3.10.2011 5 859 € Velkojana : Ok Perintä Oy 3.10.2011 50 € Velkojana : Sergel Oy 26.9.2011 3 609 € Velkojana : Trust Perintätoimisto Oy 19.9.2011 1 862 € Velkojana : 	Nordea 	Rahoitus Suomi Oy 12.9.2011 70 € Velkojana : Sergel Oy 
Ainakin 	nordea 	antaa verkkopankkitunnuksia yhä , niitähän tarvitaan nykyään lähes joka paikassa . 
	Nordealla 	ei jatkuvaa kulutusluottoa ole edes mahdollista saada , joten aloitusmaksun joutuisi maksamaan joka kerta erikseen . 
Avaa yritykselle pankkitilit ainakin neljään suurimpaan pankkiin ( OP , 	Nordea 	, Sampo , Aktia ) . 
Eivät hoida tiliä kuntoon vaikka lupailevat että on tuttuja 	nordeassa 	, 
Kyseinen sivusto on naimisissa 	Nordean 	ja Netellon kanssa . 
Mulle tuli 9:00 , 	Nordea 	, 
miksi huutonetissä tunnistautuessa ( 	Nordea 	) palveluntarjoajaksi tulee iltasanomat , siinä sanotaan että jos on väärä ( kuten nyt on ) tunnistautminen pitäisi keskeyttää 
Näistä sukanvarsi on heikoin , ja rahamarkkinarahaston tuotto-odotus on nykyisin samaa tasoa 	Nordean 	ja kumppaneiden säästötilien kanssa , eli pyöristyy nollaan . 
	Nordea 	1 , 3 - 1 , 6% 
KL-korkoseurannan mukaan 	Nordea 	tarjoaa kymppitonnille 2-vuotisella määräaikaisella huimat 0 , 5 % korkoa . 
Minulla on 	Nordeassa 	1 vuoden talletus , korko 1 , 6 % . 
	Nordean 	1 , 6 % ei ole yksiselitteinen ja vuoden talletusaika . 
Minulla 	nordeassa 	3 % ( se on verotonta kaiken lisäksi ) Korko katto on nyt 3 , 8 % ja valtio maksaa ylimenevästä korosta 70 % . 
Koroista Monet pankit maksavat tuon 1% pakollisen lisäksi nykyään myös houkuttelevaan lisäkorkoa joka on esimerkiksi 	nordealla 	4% . 
Onneksi on vielä 	Nordeassa 	muutaman vuoden yksi erä 3 , 2% ja toinen 3 , 7% korolla . 
Kuitenkin , jos esim. 	Nordea 	kaatuisi , talletussuojarahasto ei riittäisi mihinkään . 
Tai toisin päin sanottuna , jos 	Nordea 	menee nurin , niin yhteiskunnassa on paljon vakavampaakin murehdittavaa kuin muutama hyperinflaation syömä talletuseuro . 
Ruotsin Nordax maksaa kyllä rahat ihan euroina , sillä sinne sijoitetut rahat ovat- yllätys yllätys - 	Nordeassa 	, 
.. Nordaxin rahat meni muistaakseni 	Nordean 	tilille Suomeen joten siinäkään ei ollut kyseistä valuutanvaihtoriskiä . 
Merkintä on ainakin 300 markkaa laitettu joskus , pitäis käydä 	Nordeassa 	kysymässä mutta vähän jäänyt . 
Suuremman koron saa 	Nordeastakin 	mikäli haluaa makuuttaa rahojaan huonolla tuotolla . 
Kuinka suuren koron olet 	Nordeasta 	saanut , tämän vuoden puolella ? 
Tuon http://www.kauppalehti.fi/5/i/porssi/korot/index.jsp?selected=talletuskorot mukaan 10k talletukselle 24 kk määräaikaisellekaan ei saa 	Nordeassa 	kuin 0,85 % . 
Korko 	Nordeassa 	oli pari viikkoa sitten 1,87% . 
TalletusOTTO koneella pitää olla Danske / 	Nordea 	/ OP tili . 
harkitsen asp-tiliä , mutta minulla on seuraava ongelma : olen 23 , poikaystäväni on 33. 	Nordean 	esitteessä lukee , että " voit säästää yksin tai yhdessä aviopuolisosi kanssa , joka voi olla yli 30-vuotias . 
Olin ennen 	nordean 	asiakas . 
MUTTA 	nordea 	peri minulta palvelumaksuja 6,90e/kk verkkotunnuksista , mastercardista ja vielä yhdestä e-laskun sähköpostihälytyksestä ( 0,10e ) . 
Olisi if saanut ne ilmaiseksikin 	Nordean 	uutena vakuutuskumppanina . 
Tosi jännä kun 	nordean 	työntekijä koitti kaupata mulle IFin kotivakuutusta noin muutama kuukausi sitten . 
	Nordea 	pankista tulee etukäteis maksu 
	Nordealle 	vahinkovakuutukset toimittava TrygVesta nousi toiseksi asiakaslojaalisuudessa . 
lukua ) • Asiakasuskollisuus nousi yllättäen kaikilla • Lähivakuutus kruunaamaton ykkönen kaikilla osa-alueilla • 	Nordea 	Vahinkovakuutus ( TrygVesta ) tiukasti kakkosena asiakasuskollisuudessa • If:llä heikoin imago , hinta/laatusuhde sekä asiakasuskollisuus • Nordea Vahinkovakuutus on huomattavasti parantanut imagoaan vakuuttajana viime vuodesta • Tapiola asiakastyytyväisyyden kakkonen , mutta uskollisuudessa neljäntenä • If : n asiakkaat tyytyväisimmät saamaansa korvauskäsittelyyn 
lukua ) • Asiakasuskollisuus nousi yllättäen kaikilla • Lähivakuutus kruunaamaton ykkönen kaikilla osa-alueilla • Nordea Vahinkovakuutus ( TrygVesta ) tiukasti kakkosena asiakasuskollisuudessa • If:llä heikoin imago , hinta/laatusuhde sekä asiakasuskollisuus • 	Nordea 	Vahinkovakuutus on huomattavasti parantanut imagoaan vakuuttajana viime vuodesta • Tapiola asiakastyytyväisyyden kakkonen , mutta uskollisuudessa neljäntenä • If : n asiakkaat tyytyväisimmät saamaansa korvauskäsittelyyn 
Finlandia on alansa paras firma ( napannu 	nordealta 	ja Fimiltä ammattilaisia töihin ) . 
Ensinnäkään fimillä ja 	nordeallakin 	voi olla alan ammattilaiset vähän hakusessa ja jos niitä löytyykin muutama niin Finalandialla ei ole heille mitään annettavaa . 
Totuus taitaa olla , että Mika sai yrityselleen vähän jatkoaikaa kun palkkasi fimistä ja 	nordeasta 	heidän poispotkimiaan " ammattilaisia " . 
Tuliko 	Nordean 	kaverit töihin muuten sieltä struktuuripuolelta ? 
Mitä näihin rekrytointeihin tulee niin lähinnä nämä huippukaappaukset ovat 	Nordeasta 	ja Fimistä poispotkittuja luusereita joiden työsarka alalla olisi muuten loppunut . 
Itse olen riskihajautusmielessä jakanut oman salkkuni aina eri taloihin , pääosin olen tyytyväinen ja Alexandrian osalta olen toistaiseksi hyvin tyytyväinen , sijoitukseni siellä muutamassa talon struktuurituotteessa , jotka kummatkin menestyneet todella hyvin ja firman Growth Manager rahastossa , joka tuottanut vielä paremmin , paremmin kuin 	Nordeassa 	vastaava varainhoitorahastoni . 
vai uskooko kukaan että olisi vain sattumaa että Alexandriasta alkaa tulla puheluita heti kun nimeni on ollut esillä esim kiinteistökaupoissa , pankkeina Danske ja 	Nordea 	? 
Hei , olen äimistellyt pari päivää 	Nordean 	eläkevakuutuksen kanssa . 
	Nordea 	kasvu 75 ja Nordea kasvu Venäjä . 
Nordea kasvu 75 ja 	Nordea 	kasvu Venäjä . 
Jos et saanut niitä sinulla on tilaisuus kahden vuoden sisään nostaa syyte 	Nordeaa 	vastaan ja vaatia rahasi takaisin korkojen kanssa . 
Kysy lakimieheltä neuvoja ja apuja , jos sormi menee suuhun , lakimieskuluille kyllä löytyy maksukykyinen maksja , tosin haluista en ole ihan varma - nimittäin 	Nordea 	, koska se häviää jutun tässä tapauksessa . 
Moi Moi , Mullakin on 	Nordean 	Selekta eläkevakuutus , vakuutukseen sijoitettavat varat on jaettu siten että takuusäästöön menee 65 prosenttia ja rahastoon ( Nordea Nordic Small Cap ) 35 prosenttia . 
Moi Moi , Mullakin on Nordean Selekta eläkevakuutus , vakuutukseen sijoitettavat varat on jaettu siten että takuusäästöön menee 65 prosenttia ja rahastoon ( 	Nordea 	Nordic Small Cap ) 35 prosenttia . 
	Nordea 	veloitti siitä pari euroa kun muutin säästöjen jakaumaa , sijoitussuunnitelman muutos ei tainnut maksaa mitään . 
Tosin voi olla että rahastot lähtevät nousuun , 	Nordea 	Nordic Small Capin arvo oli noussut +0,73 prosenttia eilen torstaina , tämän päivän muutosta en vielä nähnyt ainakaan Kauppalehden sivuilla . 
Näin kertoi 	Nordean 	asiakasneuvoja joka soitti mulle liittyen sijoitusrahastojen myymiseen ( eivät tuottaneet tarpeeksi ) . 
	Nordeassa 	ei muistikuvani mukaan pitäisi olla sellaista , vaan kyseessä on aidosti joustava tuote . 
	NORDEA 	SELEKTA minulla maksu ainakin vapaaehtoinen . 
Ei kannata ottaa mitään vakuutusta 	Nordeasta 	eikä säätää tilille . 
Otin 2008 selecta eläkevakuutuksen 	nordeasta 	, 
Poiminta 	Nordean 	osakerahasto sopimuksesta : Hallinnointi palkkio enintään 1 , 5% ( ryöstö ) + kaupankäynti kustannus + säilytyskustannus + sijoituskohteisiin liittyvät kulut . 
Kulut ratkaisee , valitkaa indeksi rahasto , 	Nordealta 	löytyy niitäkin . 
Ja se on sitten sama onko kyseessä Tapiola , Pohjola , Sampo , 	Nordea 	, Aleksandria jne. .. 
Yritin tallettaa sen omalle tililleni omassa pankissani ( 	Nordea 	) mutta sepäs ei onnistunutkaan . 
ei tuosta jää yhtään mitään ja syy on , että lakimies väärensi valtakirjan nosti rahat 	nordeasta 	, 
poliisin mukaan olsi pitänyt ilmoittaa 	nordea 	rahoittukseen , rikostutkinta kesken .. 
seli seli ja lässyn lässyn , eipä tietnkään koska poliisn eukko on ite 	nordeassa 	hommis .. 
ja vastuu on 	nordean 	joka hyväksyi väärennetyn valtakirjan .. 
sekä 	nordea 	pankki rahoitus .. 
2000-2014 	Nordea 	Kaukoitä Tuotto : 84,74% vertailuindeksin Tuotto : 112,23% Viim . 
10 vuotta 	Nordea 	Intia Tuotto : 87,65% vertailuindeksin Tuotto : 119,09% 1997-2014 Nordea maailma Tuotto : 65,38% vertailuindeksin Tuotto : 107,12% Eli esim. Nordea maailman tapauksessa arpakuutio olisi antanut melkein kaksi kertaa paremman tuoton 1997- 2014 . 
10 vuotta Nordea Intia Tuotto : 87,65% vertailuindeksin Tuotto : 119,09% 1997-2014 	Nordea 	maailma Tuotto : 65,38% vertailuindeksin Tuotto : 107,12% Eli esim. Nordea maailman tapauksessa arpakuutio olisi antanut melkein kaksi kertaa paremman tuoton 1997- 2014 . 
10 vuotta Nordea Intia Tuotto : 87,65% vertailuindeksin Tuotto : 119,09% 1997-2014 Nordea maailma Tuotto : 65,38% vertailuindeksin Tuotto : 107,12% Eli esim. 	Nordea 	maailman tapauksessa arpakuutio olisi antanut melkein kaksi kertaa paremman tuoton 1997- 2014 . 
Nuo ja paljon muutakin löytyvät 	Nordea 	sivulta , rahastot nyt http://www.nordea.fi/PageTemplates/ContentWide . 
segment=CustomerFIIF&Domains=NordeaFundsNow , 	NordeaFinland&lang 	#NAME?
Suurin osa 	Nordean 	rahastoista EI ole indeksirahastoja , vaan ns. aktiivisia rahastoja . 
Sattuu olemaan yksi viimeaikojen " muotirahastoista " , mutta kelpaa siitä huolimatta minullekin : iShares Core MSCI Emerging Markets IMI UCITS ETF ( EUR ) / IS3N Salkusta löytyy kyllä pienellä summalla aika kauan sitten hankittua 	Nordean 	kehittyviä osakemarkkinoita . 
